agent_id,variant_prob,age
50,1.001,Adult
51,1.001,Adult
52,1.001,Adult
53,1.001,Adult
54,1.001,Adult
55,1.001,Adult
56,1.001,Adult
57,1.001,Adult
58,1.001,Adult
59,1.001,Adult
60,1.001,Adult
61,1.001,Adult
62,1.001,Adult
63,1.001,Adult
64,1.001,Adult
65,1.001,Adult
66,1.001,Adult
67,1.001,Adult
68,1.001,Adult
69,1.001,Adult
70,1.001,Adult
71,1.001,Adult
72,1.001,Adult
73,1.001,Adult
74,1.001,Adult
75,1.001,Adult
76,1.001,Adult
77,1.001,Adult
78,1.001,Adult
79,1.001,Adult
80,1.001,Adult
81,1.001,Adult
82,1.001,Adult
83,1.001,Adult
84,1.001,Adult
85,1.001,Adult
86,1.001,Adult
87,1.001,Adult
88,1.001,Adult
89,1.001,Adult
90,1.001,Adult
91,1.001,Adult
92,1.001,Adult
93,1.001,Adult
94,1.001,Adult
95,1.001,Adult
96,1.001,Adult
97,1.001,Adult
98,1.001,Adult
99,1.001,Adult
100,1.001,Adult
101,1.001,Adult
102,1.001,Adult
103,1.001,Adult
104,1.001,Adult
105,1.001,Adult
106,1.001,Adult
107,1.001,Adult
108,1.001,Adult
109,1.001,Adult
110,1.001,Adult
111,1.001,Adult
112,1.001,Adult
113,1.001,Adult
114,1.001,Adult
115,1.001,Adult
116,1.001,Adult
117,1.001,Adult
118,1.001,Adult
119,1.001,Adult
120,1.001,Adult
121,1.001,Adult
122,1.001,Adult
123,1.001,Adult
124,1.001,Adult
125,1.001,Adult
126,1.001,Adult
127,1.001,Adult
128,1.001,Adult
129,1.001,Adult
130,1.001,Adult
131,1.001,Adult
132,1.001,Adult
133,1.001,Adult
134,1.001,Adult
135,1.001,Adult
136,1.001,Adult
137,1.001,Adult
138,1.001,Adult
139,1.001,Adult
140,1.001,Adult
141,1.001,Adult
142,1.001,Adult
143,1.001,Adult
144,1.001,Adult
145,1.001,Adult
146,1.001,Adult
147,1.001,Adult
148,1.001,Adult
149,1.001,Adult
150,1.001,Adult
151,1.001,Adult
152,1.001,Adult
153,1.001,Adult
154,1.001,Adult
155,1.001,Adult
156,1.001,Adult
157,1.001,Adult
158,1.001,Adult
159,1.001,Adult
160,1.001,Adult
161,1.001,Adult
162,1.001,Adult
163,1.001,Adult
164,1.001,Adult
165,1.001,Adult
166,1.001,Adult
167,1.001,Adult
168,1.001,Adult
169,1.001,Adult
170,1.001,Adult
171,1.001,Adult
172,1.001,Adult
173,1.001,Adult
174,1.001,Adult
175,1.001,Adult
176,1.001,Adult
177,1.001,Adult
178,1.001,Adult
179,1.001,Adult
180,1.001,Adult
181,1.001,Adult
182,1.001,Adult
183,1.001,Adult
184,1.001,Adult
185,1.001,Adult
186,1.001,Adult
187,1.001,Adult
188,1.001,Adult
189,1.001,Adult
190,1.001,Adult
191,1.001,Adult
192,1.001,Adult
193,1.001,Adult
194,1.001,Adult
195,1.001,Adult
196,1.001,Adult
197,1.001,Adult
198,1.001,Adult
199,1.001,Adult
200,1.001,Child
201,1.001,Child
202,1.001,Child
203,1.001,Child
204,1.001,Child
205,1.001,Child
206,1.001,Child
207,1.001,Child
208,1.001,Child
209,1.001,Child
210,1.001,Child
211,1.001,Child
212,1.001,Child
213,1.001,Child
214,1.001,Child
215,1.001,Child
216,1.001,Child
217,1.001,Child
218,1.001,Child
219,1.001,Child
220,1.001,Child
221,1.001,Child
222,1.001,Child
223,1.001,Child
224,1.001,Child
225,1.001,Child
226,1.001,Child
227,1.001,Child
228,1.001,Child
229,1.001,Child
230,1.001,Child
231,1.001,Child
232,1.001,Child
233,1.001,Child
234,1.001,Child
235,1.001,Child
236,1.001,Child
237,1.001,Child
238,1.001,Child
239,1.001,Child
240,1.001,Child
241,1.001,Child
242,1.001,Child
243,1.001,Child
244,1.001,Child
245,1.001,Child
246,1.001,Child
247,1.001,Child
248,1.001,Child
249,1.001,Child
250,1.001,Child
251,1.001,Child
252,1.001,Child
253,1.001,Child
254,1.001,Child
255,1.001,Child
256,1.001,Child
257,1.001,Child
258,1.001,Child
259,1.001,Child
260,1.001,Child
261,1.001,Child
262,1.001,Child
263,1.001,Child
264,1.001,Child
265,1.001,Child
266,1.001,Child
267,1.001,Child
268,1.001,Child
269,1.001,Child
270,1.001,Child
271,1.001,Child
272,1.001,Child
273,1.001,Child
274,1.001,Child
275,1.001,Child
276,1.001,Child
277,1.001,Child
278,1.001,Child
279,1.001,Child
280,1.001,Child
281,1.001,Child
282,1.001,Child
283,1.001,Child
284,1.001,Child
285,1.001,Child
286,1.001,Child
287,1.001,Child
288,1.001,Child
289,1.001,Child
290,1.001,Child
291,1.001,Child
292,1.001,Child
293,1.001,Child
294,1.001,Child
295,1.001,Child
296,1.001,Child
297,1.001,Child
298,1.001,Child
299,1.001,Child
300,1.001,Child
301,1.001,Child
302,1.001,Child
303,1.001,Child
304,1.001,Child
305,1.001,Child
306,1.001,Child
307,1.001,Child
308,1.001,Child
309,1.001,Child
310,1.001,Child
311,1.001,Child
312,1.001,Child
313,1.001,Child
314,1.001,Child
315,1.001,Child
316,1.001,Child
317,1.001,Child
318,1.001,Child
319,1.001,Child
320,1.001,Child
321,1.001,Child
322,1.001,Child
323,1.001,Child
324,1.001,Child
325,1.001,Child
326,1.001,Child
327,1.001,Child
328,1.001,Child
329,1.001,Child
330,1.001,Child
331,1.001,Child
332,1.001,Child
333,1.001,Child
334,1.001,Child
335,1.001,Child
336,1.001,Child
337,1.001,Child
338,1.001,Child
339,1.001,Child
340,1.001,Child
341,1.001,Child
342,1.001,Child
343,1.001,Child
344,1.001,Child
345,1.001,Child
346,1.001,Child
347,1.001,Child
348,1.001,Child
349,1.001,Child
350,1.001,Child
351,1.001,Child
352,1.001,Child
353,1.001,Child
354,1.001,Child
355,1.001,Child
356,1.001,Child
357,1.001,Child
358,1.001,Child
359,1.001,Child
360,1.001,Child
361,1.001,Child
362,1.001,Child
363,1.001,Child
364,1.001,Child
365,1.001,Child
366,1.001,Child
367,1.001,Child
368,1.001,Child
369,1.001,Child
370,1.001,Child
371,1.001,Child
372,1.001,Child
373,1.001,Child
374,1.001,Child
375,1.001,Child
376,1.001,Child
377,1.001,Child
378,1.001,Child
379,1.001,Child
380,1.001,Child
381,1.001,Child
382,1.001,Child
383,1.001,Child
384,1.001,Child
385,1.001,Child
386,1.001,Child
387,1.001,Child
388,1.001,Child
389,1.001,Child
390,1.001,Child
391,1.001,Child
392,1.001,Child
393,1.001,Child
394,1.001,Child
395,1.001,Child
396,1.001,Child
397,1.001,Child
398,1.001,Child
399,1.001,Child
400,1.001,Child
401,1.001,Child
402,1.001,Child
403,1.001,Child
404,1.001,Child
405,1.001,Child
406,1.001,Child
407,1.001,Child
408,1.001,Child
409,1.001,Child
410,1.001,Child
411,1.001,Child
412,1.001,Child
413,1.001,Child
414,1.001,Child
415,1.001,Child
416,1.001,Child
417,1.001,Child
418,1.001,Child
419,1.001,Child
420,1.001,Child
421,1.001,Child
422,1.001,Child
423,1.001,Child
424,1.001,Child
425,1.001,Child
426,1.001,Child
427,1.001,Child
428,1.001,Child
429,1.001,Child
430,1.001,Child
431,1.001,Child
432,1.001,Child
433,1.001,Child
434,1.001,Child
435,1.001,Child
436,1.001,Child
437,1.001,Child
438,1.001,Child
439,1.001,Child
440,1.001,Child
441,1.001,Child
442,1.001,Child
443,1.001,Child
444,1.001,Child
445,1.001,Child
446,1.001,Child
447,1.001,Child
448,1.001,Child
449,1.001,Child
450,1.001,Child
451,1.001,Child
452,1.001,Child
453,1.001,Child
454,1.001,Child
455,1.001,Child
456,1.001,Child
457,1.001,Child
458,1.001,Child
459,1.001,Child
460,1.001,Child
461,1.001,Child
462,1.001,Child
463,1.001,Child
464,1.001,Child
465,1.001,Child
466,1.001,Child
467,1.001,Child
468,1.001,Child
469,1.001,Child
470,1.001,Child
471,1.001,Child
472,1.001,Child
473,1.001,Child
474,1.001,Child
475,1.001,Child
476,1.001,Child
477,1.001,Child
478,1.001,Child
479,1.001,Child
480,1.001,Child
481,1.001,Child
482,1.001,Child
483,1.001,Child
484,1.001,Child
485,1.001,Child
486,1.001,Child
487,1.001,Child
488,1.001,Child
489,1.001,Child
490,1.001,Child
491,1.001,Child
492,1.001,Child
493,1.001,Child
494,1.001,Child
495,1.001,Child
496,1.001,Child
497,1.001,Child
498,1.001,Child
499,1.001,Child
500,1.001,Child
501,1.001,Child
502,1.001,Child
503,1.001,Child
504,1.001,Child
505,1.001,Child
506,1.001,Child
507,1.001,Child
508,1.001,Child
509,1.001,Child
510,1.001,Child
511,1.001,Child
512,1.001,Child
513,1.001,Child
514,1.001,Child
515,1.001,Child
516,1.001,Child
517,1.001,Child
518,1.001,Child
519,1.001,Child
520,1.001,Child
521,1.001,Child
522,1.001,Child
523,1.001,Child
524,1.001,Child
525,1.001,Child
526,1.001,Child
527,1.001,Child
528,1.001,Child
529,1.001,Child
530,1.001,Child
531,1.001,Child
532,1.001,Child
533,1.001,Child
534,1.001,Child
535,1.001,Child
536,1.001,Child
537,1.001,Child
538,1.001,Child
539,1.001,Child
540,1.001,Child
541,1.001,Child
542,1.001,Child
543,1.001,Child
544,1.001,Child
545,1.001,Child
546,1.001,Child
547,1.001,Child
548,1.001,Child
549,1.001,Child
550,1.001,Child
551,1.001,Child
552,1.001,Child
553,1.001,Child
554,1.001,Child
555,1.001,Child
556,1.001,Child
557,1.001,Child
558,1.001,Child
559,1.001,Child
560,1.001,Child
561,1.001,Child
562,1.001,Child
563,1.001,Child
564,1.001,Child
565,1.001,Child
566,1.001,Child
567,1.001,Child
568,1.001,Child
569,1.001,Child
570,1.001,Child
571,1.001,Child
572,1.001,Child
573,1.001,Child
574,1.001,Child
575,1.001,Child
576,1.001,Child
577,1.001,Child
578,1.001,Child
579,1.001,Child
580,1.001,Child
581,1.001,Child
582,1.001,Child
583,1.001,Child
584,1.001,Child
585,1.001,Child
586,1.001,Child
587,1.001,Child
588,1.001,Child
589,1.001,Child
590,1.001,Child
591,1.001,Child
592,1.001,Child
593,1.001,Child
594,1.001,Child
595,1.001,Child
596,1.001,Child
597,1.001,Child
598,1.001,Child
599,1.001,Child
600,1.001,Child
601,1.001,Child
602,1.001,Child
603,1.001,Child
604,1.001,Child
605,1.001,Child
606,1.001,Child
607,1.001,Child
608,1.001,Child
609,1.001,Child
610,1.001,Child
611,1.001,Child
612,1.001,Child
613,1.001,Child
614,1.001,Child
615,1.001,Child
616,1.001,Child
617,1.001,Child
618,1.001,Child
619,1.001,Child
620,1.001,Child
621,1.001,Child
622,1.001,Child
623,1.001,Child
624,1.001,Child
625,1.001,Child
626,1.001,Child
627,1.001,Child
628,1.001,Child
629,1.001,Child
630,1.001,Child
631,1.001,Child
632,1.001,Child
633,1.001,Child
634,1.001,Child
635,1.001,Child
636,1.001,Child
637,1.001,Child
638,1.001,Child
639,1.001,Child
640,1.001,Child
641,1.001,Child
642,1.001,Child
643,1.001,Child
644,1.001,Child
645,1.001,Child
646,1.001,Child
647,1.001,Child
648,1.001,Child
649,1.001,Child
